#car_id,x,y,方向,
,1,31,14,3
,2,7,11,4
,3,21,13,3
,4,0,10,1
,5,22,9,2
,6,2,18,3
,7,26,11,3
,8,25,8,1
,9,1,19,1
,10,26,17,3
,11,29,16,4
,12,9,21,1
,13,26,21,4
,14,20,18,2
,15,5,7,1
,16,22,4,2
,17,27,18,4
,18,22,10,2
,19,24,18,2
,20,9,20,2
,21,14,17,4
,22,18,2,1
,23,8,11,4
,24,9,12,1
,25,2,4,3
,26,19,18,3
,27,25,6,4
,28,5,14,1
,29,28,14,2
,30,0,11,1
,31,9,7,4
,32,30,16,4
,33,11,16,3
,34,18,15,1
,35,17,8,3
,36,0,5,4
,37,25,15,3
,38,21,14,2
,39,3,16,4
,40,24,15,3
,41,1,18,1
,42,20,4,2
,43,24,6,4
,44,4,0,3
,45,1,8,1
,46,0,16,1
,47,18,21,2
,48,1,14,4
,49,4,7,3
,50,26,14,2
